20260001/1;20260001/2;20260001/3;20260001/4;20260001/5;20260001/6;20260001/7;20260001/8;20260001/9;20260001/10;20260001/11;20260001/12;1;10001;20001;30001;40001;50001;60001;70001;80001;90001;1667;11667;21667;31667;41667;51667;61667;71667;81667;91667;3333;13333;23333;33333;43333;53333;63333;73333;83333;93333;4999;14999;24999;34999;44999;54999;64999;74999;84999;94999;6665;16665;26665;36665;46665;56665;66665;76665;86665;96665;8331;18331;28331;38331;48331;58331;68331;78331;88331;98331
20260002/1;20260002/2;20260002/3;20260002/4;20260002/5;20260002/6;20260002/7;20260002/8;20260002/9;20260002/10;20260002/11;20260002/12;2;10002;20002;30002;40002;50002;60002;70002;80002;90002;1668;11668;21668;31668;41668;51668;61668;71668;81668;91668;3334;13334;23334;33334;43334;53334;63334;73334;83334;93334;5000;15000;25000;35000;45000;55000;65000;75000;85000;95000;6666;16666;26666;36666;46666;56666;66666;76666;86666;96666;8332;18332;28332;38332;48332;58332;68332;78332;88332;98332
20260003/1;20260003/2;20260003/3;20260003/4;20260003/5;20260003/6;20260003/7;20260003/8;20260003/9;20260003/10;20260003/11;20260003/12;3;10003;20003;30003;40003;50003;60003;70003;80003;90003;1669;11669;21669;31669;41669;51669;61669;71669;81669;91669;3335;13335;23335;33335;43335;53335;63335;73335;83335;93335;5001;15001;25001;35001;45001;55001;65001;75001;85001;95001;6667;16667;26667;36667;46667;56667;66667;76667;86667;96667;8333;18333;28333;38333;48333;58333;68333;78333;88333;98333
20260004/1;20260004/2;20260004/3;20260004/4;20260004/5;20260004/6;20260004/7;20260004/8;20260004/9;20260004/10;20260004/11;20260004/12;4;10004;20004;30004;40004;50004;60004;70004;80004;90004;1670;11670;21670;31670;41670;51670;61670;71670;81670;91670;3336;13336;23336;33336;43336;53336;63336;73336;83336;93336;5002;15002;25002;35002;45002;55002;65002;75002;85002;95002;6668;16668;26668;36668;46668;56668;66668;76668;86668;96668;8334;18334;28334;38334;48334;58334;68334;78334;88334;98334
20260005/1;20260005/2;20260005/3;20260005/4;20260005/5;20260005/6;20260005/7;20260005/8;20260005/9;20260005/10;20260005/11;20260005/12;5;10005;20005;30005;40005;50005;60005;70005;80005;90005;1671;11671;21671;31671;41671;51671;61671;71671;81671;91671;3337;13337;23337;33337;43337;53337;63337;73337;83337;93337;5003;15003;25003;35003;45003;55003;65003;75003;85003;95003;6669;16669;26669;36669;46669;56669;66669;76669;86669;96669;8335;18335;28335;38335;48335;58335;68335;78335;88335;98335
20260006/1;20260006/2;20260006/3;20260006/4;20260006/5;20260006/6;20260006/7;20260006/8;20260006/9;20260006/10;20260006/11;20260006/12;6;10006;20006;30006;40006;50006;60006;70006;80006;90006;1672;11672;21672;31672;41672;51672;61672;71672;81672;91672;3338;13338;23338;33338;43338;53338;63338;73338;83338;93338;5004;15004;25004;35004;45004;55004;65004;75004;85004;95004;6670;16670;26670;36670;46670;56670;66670;76670;86670;96670;8336;18336;28336;38336;48336;58336;68336;78336;88336;98336
20260007/1;20260007/2;20260007/3;20260007/4;20260007/5;20260007/6;20260007/7;20260007/8;20260007/9;20260007/10;20260007/11;20260007/12;7;10007;20007;30007;40007;50007;60007;70007;80007;90007;1673;11673;21673;31673;41673;51673;61673;71673;81673;91673;3339;13339;23339;33339;43339;53339;63339;73339;83339;93339;5005;15005;25005;35005;45005;55005;65005;75005;85005;95005;6671;16671;26671;36671;46671;56671;66671;76671;86671;96671;8337;18337;28337;38337;48337;58337;68337;78337;88337;98337
20260008/1;20260008/2;20260008/3;20260008/4;20260008/5;20260008/6;20260008/7;20260008/8;20260008/9;20260008/10;20260008/11;20260008/12;8;10008;20008;30008;40008;50008;60008;70008;80008;90008;1674;11674;21674;31674;41674;51674;61674;71674;81674;91674;3340;13340;23340;33340;43340;53340;63340;73340;83340;93340;5006;15006;25006;35006;45006;55006;65006;75006;85006;95006;6672;16672;26672;36672;46672;56672;66672;76672;86672;96672;8338;18338;28338;38338;48338;58338;68338;78338;88338;98338
20260009/1;20260009/2;20260009/3;20260009/4;20260009/5;20260009/6;20260009/7;20260009/8;20260009/9;20260009/10;20260009/11;20260009/12;9;10009;20009;30009;40009;50009;60009;70009;80009;90009;1675;11675;21675;31675;41675;51675;61675;71675;81675;91675;3341;13341;23341;33341;43341;53341;63341;73341;83341;93341;5007;15007;25007;35007;45007;55007;65007;75007;85007;95007;6673;16673;26673;36673;46673;56673;66673;76673;86673;96673;8339;18339;28339;38339;48339;58339;68339;78339;88339;98339
20260010/1;20260010/2;20260010/3;20260010/4;20260010/5;20260010/6;20260010/7;20260010/8;20260010/9;20260010/10;20260010/11;20260010/12;10;10010;20010;30010;40010;50010;60010;70010;80010;90010;1676;11676;21676;31676;41676;51676;61676;71676;81676;91676;3342;13342;23342;33342;43342;53342;63342;73342;83342;93342;5008;15008;25008;35008;45008;55008;65008;75008;85008;95008;6674;16674;26674;36674;46674;56674;66674;76674;86674;96674;8340;18340;28340;38340;48340;58340;68340;78340;88340;98340
