20250001/1;00001;10001;20001;30001;40001
20250001/2;01667;11667;21667;31667;41667
20250001/3;03333;13333;23333;33333;43333
20250001/4;04999;14999;24999;34999;44999
20250001/5;06665;16665;26665;36665;46665
20250001/6;08331;18331;28331;38331;48331
20250001/7;50001;60001;70001;80001;90001
20250001/8;51667;61667;71667;81667;91667
20250001/9;53333;63333;73333;83333;93333
20250001/10;54999;64999;74999;84999;94999
20250001/11;56665;66665;76665;86665;96665
20250001/12;58331;68331;78331;88331;98331
20250002/1;00002;10002;20002;30002;40002
20250002/2;01668;11668;21668;31668;41668
20250002/3;03334;13334;23334;33334;43334
20250002/4;05000;15000;25000;35000;45000
20250002/5;06666;16666;26666;36666;46666
20250002/6;08332;18332;28332;38332;48332
20250002/7;50002;60002;70002;80002;90002
20250002/8;51668;61668;71668;81668;91668
20250002/9;53334;63334;73334;83334;93334
20250002/10;55000;65000;75000;85000;95000
20250002/11;56666;66666;76666;86666;96666
20250002/12;58332;68332;78332;88332;98332
20250003/1;00003;10003;20003;30003;40003
20250003/2;01669;11669;21669;31669;41669
20250003/3;03335;13335;23335;33335;43335
20250003/4;05001;15001;25001;35001;45001
20250003/5;06667;16667;26667;36667;46667
20250003/6;08333;18333;28333;38333;48333
20250003/7;50003;60003;70003;80003;90003
20250003/8;51669;61669;71669;81669;91669
20250003/9;53335;63335;73335;83335;93335
20250003/10;55001;65001;75001;85001;95001
20250003/11;56667;66667;76667;86667;96667
20250003/12;58333;68333;78333;88333;98333
20250004/1;00004;10004;20004;30004;40004
20250004/2;01670;11670;21670;31670;41670
20250004/3;03336;13336;23336;33336;43336
20250004/4;05002;15002;25002;35002;45002
20250004/5;06668;16668;26668;36668;46668
20250004/6;08334;18334;28334;38334;48334
20250004/7;50004;60004;70004;80004;90004
20250004/8;51670;61670;71670;81670;91670
20250004/9;53336;63336;73336;83336;93336
20250004/10;55002;65002;75002;85002;95002
20250004/11;56668;66668;76668;86668;96668
20250004/12;58334;68334;78334;88334;98334
20250005/1;00005;10005;20005;30005;40005
20250005/2;01671;11671;21671;31671;41671
20250005/3;03337;13337;23337;33337;43337
20250005/4;05003;15003;25003;35003;45003
20250005/5;06669;16669;26669;36669;46669
20250005/6;08335;18335;28335;38335;48335
20250005/7;50005;60005;70005;80005;90005
20250005/8;51671;61671;71671;81671;91671
20250005/9;53337;63337;73337;83337;93337
20250005/10;55003;65003;75003;85003;95003
20250005/11;56669;66669;76669;86669;96669
20250005/12;58335;68335;78335;88335;98335
20250006/1;00006;10006;20006;30006;40006
20250006/2;01672;11672;21672;31672;41672
20250006/3;03338;13338;23338;33338;43338
20250006/4;05004;15004;25004;35004;45004
20250006/5;06670;16670;26670;36670;46670
20250006/6;08336;18336;28336;38336;48336
20250006/7;50006;60006;70006;80006;90006
20250006/8;51672;61672;71672;81672;91672
20250006/9;53338;63338;73338;83338;93338
20250006/10;55004;65004;75004;85004;95004
20250006/11;56670;66670;76670;86670;96670
20250006/12;58336;68336;78336;88336;98336
20250007/1;00007;10007;20007;30007;40007
20250007/2;01673;11673;21673;31673;41673
20250007/3;03339;13339;23339;33339;43339
20250007/4;05005;15005;25005;35005;45005
20250007/5;06671;16671;26671;36671;46671
20250007/6;08337;18337;28337;38337;48337
20250007/7;50007;60007;70007;80007;90007
20250007/8;51673;61673;71673;81673;91673
20250007/9;53339;63339;73339;83339;93339
20250007/10;55005;65005;75005;85005;95005
20250007/11;56671;66671;76671;86671;96671
20250007/12;58337;68337;78337;88337;98337
20250008/1;00008;10008;20008;30008;40008
20250008/2;01674;11674;21674;31674;41674
20250008/3;03340;13340;23340;33340;43340
20250008/4;05006;15006;25006;35006;45006
20250008/5;06672;16672;26672;36672;46672
20250008/6;08338;18338;28338;38338;48338
20250008/7;50008;60008;70008;80008;90008
20250008/8;51674;61674;71674;81674;91674
20250008/9;53340;63340;73340;83340;93340
20250008/10;55006;65006;75006;85006;95006
20250008/11;56672;66672;76672;86672;96672
20250008/12;58338;68338;78338;88338;98338
20250009/1;00009;10009;20009;30009;40009
20250009/2;01675;11675;21675;31675;41675
20250009/3;03341;13341;23341;33341;43341
20250009/4;05007;15007;25007;35007;45007
20250009/5;06673;16673;26673;36673;46673
20250009/6;08339;18339;28339;38339;48339
20250009/7;50009;60009;70009;80009;90009
20250009/8;51675;61675;71675;81675;91675
20250009/9;53341;63341;73341;83341;93341
20250009/10;55007;65007;75007;85007;95007
20250009/11;56673;66673;76673;86673;96673
20250009/12;58339;68339;78339;88339;98339
20250010/1;00010;10010;20010;30010;40010
20250010/2;01676;11676;21676;31676;41676
20250010/3;03342;13342;23342;33342;43342
20250010/4;05008;15008;25008;35008;45008
20250010/5;06674;16674;26674;36674;46674
20250010/6;08340;18340;28340;38340;48340
20250010/7;50010;60010;70010;80010;90010
20250010/8;51676;61676;71676;81676;91676
20250010/9;53342;63342;73342;83342;93342
20250010/10;55008;65008;75008;85008;95008
20250010/11;56674;66674;76674;86674;96674
20250010/12;58340;68340;78340;88340;98340
20250011/1;00011;10011;20011;30011;40011
20250011/2;01677;11677;21677;31677;41677
20250011/3;03343;13343;23343;33343;43343
20250011/4;05009;15009;25009;35009;45009
20250011/5;06675;16675;26675;36675;46675
20250011/6;08341;18341;28341;38341;48341
20250011/7;50011;60011;70011;80011;90011
20250011/8;51677;61677;71677;81677;91677
20250011/9;53343;63343;73343;83343;93343
20250011/10;55009;65009;75009;85009;95009
20250011/11;56675;66675;76675;86675;96675
20250011/12;58341;68341;78341;88341;98341
20250012/1;00012;10012;20012;30012;40012
20250012/2;01678;11678;21678;31678;41678
20250012/3;03344;13344;23344;33344;43344
20250012/4;05010;15010;25010;35010;45010
20250012/5;06676;16676;26676;36676;46676
20250012/6;08342;18342;28342;38342;48342
20250012/7;50012;60012;70012;80012;90012
20250012/8;51678;61678;71678;81678;91678
20250012/9;53344;63344;73344;83344;93344
20250012/10;55010;65010;75010;85010;95010
20250012/11;56676;66676;76676;86676;96676
20250012/12;58342;68342;78342;88342;98342
20250013/1;00013;10013;20013;30013;40013
20250013/2;01679;11679;21679;31679;41679
20250013/3;03345;13345;23345;33345;43345
20250013/4;05011;15011;25011;35011;45011
